date,symbol,isin,name,open,high,low,close,volume,turnover,adj_factor_cumulative,adj_close
2010-01-04,SBIN,INE062A01012,,2275.0,2300.0,2275.0,2291.2,1103147,2527598934.65,0.813177374755336,1863.1520010394258
2010-01-05,SBIN,INE062A01012,,2308.0,2310.0,2280.1,2292.05,1161374,2662775673.75,0.813177374755336,1863.8432018079682
2010-01-06,SBIN,INE062A01012,,2297.0,2315.0,2285.0,2305.8,1452793,3343920269.0,0.813177374755336,1875.024390710854
2010-01-07,SBIN,INE062A01012,,2306.0,2310.0,2281.1,2292.9,857651,1965618310.7,0.813177374755336,1864.53440257651
2010-01-08,SBIN,INE062A01012,,2294.0,2303.9,2280.1,2286.05,1045382,2392960853.15,0.813177374755336,1858.964137559436
2010-01-11,SBIN,INE062A01012,,2297.0,2312.7,2263.25,2267.2,1414534,3238639760.95,0.813177374755336,1843.6357440452978
2010-01-12,SBIN,INE062A01012,,2267.0,2270.0,2196.2,2203.2,2291772,5088262712.65,0.813177374755336,1791.5923920609562
2010-01-13,SBIN,INE062A01012,,2195.0,2195.0,2158.1,2175.9,2171969,4720134116.25,0.813177374755336,1769.3926497301356
2010-01-14,SBIN,INE062A01012,,2188.0,2199.0,2145.55,2157.35,2072399,4508974437.35,0.813177374755336,1754.308209428424
2010-01-15,SBIN,INE062A01012,,2168.0,2178.4,2136.8,2143.35,2061192,4435696255.25,0.813177374755336,1742.9237261818494
2010-01-18,SBIN,INE062A01012,,2175.0,2183.05,2142.8,2156.4,1922217,4159385915.9,0.813177374755336,1753.5356909224067
2010-01-19,SBIN,INE062A01012,,2169.8,2187.0,2157.0,2173.1,1227707,2666960744.55,0.813177374755336,1767.1157530808207
2010-01-20,SBIN,INE062A01012,,2184.0,2186.6,2152.55,2159.85,1683072,3647947838.9,0.813177374755336,1756.3411528653126
2010-01-21,SBIN,INE062A01012,,2159.0,2161.3,2112.3,2124.1,1926547,4122325222.75,0.813177374755336,1727.270061717809
2010-01-22,SBIN,INE062A01012,,2100.15,2106.5,2053.05,2087.35,2719318,5674787001.05,0.813177374755336,1697.3857931955506
2010-01-25,SBIN,INE062A01012,,2055.55,2137.0,2055.55,2091.6,1537804,3224797720.85,0.813177374755336,1700.8417970382607
2010-01-27,SBIN,INE062A01012,,2060.0,2068.4,1971.1,1987.65,3806891,7625764678.15,0.813177374755336,1616.3120089324436
2010-01-28,SBIN,INE062A01012,,2100.0,2100.0,1991.0,2003.25,2795246,5637075905.3,0.813177374755336,1628.9975759786269
2010-01-29,SBIN,INE062A01012,,1990.0,2067.4,1955.05,2056.6,4648719,9345875760.8,0.813177374755336,1672.380588921824
2010-02-01,SBIN,INE062A01012,,2148.0,2148.0,2015.5,2021.25,2204716,4470863715.7,0.813177374755336,1643.634768724223
2010-02-02,SBIN,INE062A01012,,2030.2,2045.2,1974.15,1978.35,2408626,4817308370.85,0.813177374755336,1608.749459347219
2010-02-03,SBIN,INE062A01012,,1986.3,2015.9,1983.5,1998.8,3045071,6090732845.75,0.813177374755336,1625.3789366609656
2010-02-04,SBIN,INE062A01012,,1996.0,1996.7,1940.0,1947.9,3535712,6936577835.9,0.813177374755336,1583.9882082859192
2010-02-05,SBIN,INE062A01012,,1930.0,1930.0,1863.1,1897.8,2687883,5085532200.85,0.813177374755336,1543.2480218106766
2010-02-08,SBIN,INE062A01012,,1900.0,1947.8,1883.65,1936.55,1888513,3623301343.7,0.813177374755336,1574.758645082446
2010-02-09,SBIN,INE062A01012,,1931.0,1958.0,1925.0,1950.3,1383698,2691356343.95,0.813177374755336,1585.939833985332
2010-02-10,SBIN,INE062A01012,,1970.0,1970.0,1895.0,1911.85,1973193,3802708597.45,0.813177374755336,1554.673163925989
2010-02-11,SBIN,INE062A01012,,1923.9,1940.0,1911.0,1917.65,1242794,2392101450.75,0.813177374755336,1559.3895926995701
2010-02-15,SBIN,INE062A01012,,1925.0,1925.0,1886.3,1895.0,1332501,2529710057.6,0.813177374755336,1540.9711251613617
2010-02-16,SBIN,INE062A01012,,1914.0,1925.0,1895.0,1920.6,807015,1541810369.15,0.813177374755336,1561.7884659550982
2010-02-17,SBIN,INE062A01012,,1935.0,1962.5,1927.25,1956.85,1346836,2620231783.5,0.813177374755336,1591.2661457899792
2010-02-18,SBIN,INE062A01012,,1957.9,1960.0,1927.3,1942.4,1310323,2541733540.8,0.813177374755336,1579.5157327247648
2010-02-19,SBIN,INE062A01012,,1925.0,1934.0,1890.05,1905.3,1586302,3020100081.9,0.813177374755336,1549.3468521213417
2010-02-22,SBIN,INE062A01012,,1920.0,1935.0,1910.15,1916.35,1152865,2217524871.85,0.813177374755336,1558.3324621123882
2010-02-23,SBIN,INE062A01012,,1914.9,1934.5,1906.6,1911.9,1062577,2041277314.0,0.813177374755336,1554.713822794727
2010-02-24,SBIN,INE062A01012,,1906.0,1930.0,1900.0,1921.25,817359,1567276609.5,0.813177374755336,1562.3170312486893
2010-02-25,SBIN,INE062A01012,,1925.0,1930.0,1903.4,1913.65,2161596,4138028280.25,0.813177374755336,1556.136883200549
2010-02-26,SBIN,INE062A01012,,1925.0,2032.0,1915.0,1974.3,4321519,8558621511.2,0.813177374755336,1605.45609097946
2010-03-02,SBIN,INE062A01012,,1990.55,2011.0,1974.2,1986.65,1934735,3857419855.85,0.813177374755336,1615.4988315576884
2010-03-03,SBIN,INE062A01012,,1989.1,2025.9,1989.1,2022.4,1584368,3190989487.05,0.813177374755336,1644.5699227051916
2010-03-04,SBIN,INE062A01012,,2023.0,2044.7,2012.0,2032.7,1430107,2907761706.25,0.813177374755336,1652.9456496651717
2010-03-05,SBIN,INE062A01012,,2045.0,2059.0,2021.1,2047.2,1268507,2591980512.85,0.813177374755336,1664.736721599124
2010-03-08,SBIN,INE062A01012,,2060.0,2112.5,2033.1,2065.95,3866479,8043214557.45,0.813177374755336,1679.9837973757863
2010-03-09,SBIN,INE062A01012,,2032.55,2078.0,2032.55,2044.6,1430528,2939336511.45,0.813177374755336,1662.62246042476
2010-03-10,SBIN,INE062A01012,,2050.2,2050.2,2026.4,2037.25,1276763,2601152566.85,0.813177374755336,1656.6456067203083
2010-03-11,SBIN,INE062A01012,,2040.0,2052.8,2018.3,2045.75,1197980,2440142853.35,0.813177374755336,1663.5576144057286
2010-03-12,SBIN,INE062A01012,,2042.0,2062.65,2038.65,2047.9,1203343,2468733884.75,0.813177374755336,1665.3059457614527
2010-03-15,SBIN,INE062A01012,,2039.5,2044.75,2011.1,2015.1,899749,1817704222.1,0.813177374755336,1638.6337278694775
2010-03-16,SBIN,INE062A01012,,2017.05,2025.0,1997.6,2015.85,1285717,2584419249.0,0.813177374755336,1639.2436109005441
2010-03-17,SBIN,INE062A01012,,2020.05,2042.0,2015.65,2027.3,1077737,2188202961.95,0.813177374755336,1648.5544918414928
2010-03-18,SBIN,INE062A01012,,2030.0,2050.5,2010.5,2029.65,1426907,2888433266.3,0.813177374755336,1650.4654586721679
2010-03-19,SBIN,INE062A01012,,2040.0,2065.85,2033.3,2058.45,1288913,2650219915.5,0.813177374755336,1673.8849670651214
2010-03-22,SBIN,INE062A01012,,2025.15,2053.8,2010.0,2040.95,1115156,2275338253.2,0.813177374755336,1659.6543630069032
2010-03-23,SBIN,INE062A01012,,2042.0,2056.65,2018.6,2048.55,1365050,2782136163.45,0.813177374755336,1665.8345110550438
2010-03-25,SBIN,INE062A01012,,2044.65,2061.6,2025.2,2049.55,1364648,2785186578.3,0.813177374755336,1666.647688429799
2010-03-26,SBIN,INE062A01012,,2054.85,2078.0,2045.05,2072.85,1342271,2769872732.15,0.813177374755336,1685.5947212615981
2010-03-29,SBIN,INE062A01012,,2075.0,2105.0,2073.0,2095.05,1123155,2352316255.0,0.813177374755336,1703.647258981167
2010-03-30,SBIN,INE062A01012,,2095.05,2121.95,2075.0,2082.55,1192988,2510860007.5,0.813177374755336,1693.4825417967252
2010-03-31,SBIN,INE062A01012,,2085.0,2098.9,2073.35,2078.2,999722,2086734018.5,0.813177374755336,1689.9452202165392
2010-04-01,SBIN,INE062A01012,,2080.0,2108.0,2075.3,2102.6,768145,1607875292.25,0.813177374755336,1709.7867481605695
2010-04-05,SBIN,INE062A01012,,2115.0,2142.2,2105.0,2138.25,1107535,2352905462.05,0.813177374755336,1738.7765215705972
2010-04-06,SBIN,INE062A01012,,2143.9,2147.75,2112.1,2123.55,1235930,2631115662.05,0.813177374755336,1726.822814161694
2010-04-07,SBIN,INE062A01012,,2130.3,2135.0,2096.0,2110.9,1300415,2751204737.9,0.813177374755336,1716.5361203710388
2010-04-08,SBIN,INE062A01012,,2105.0,2109.8,2087.55,2095.9,1149701,2411095112.7,0.813177374755336,1704.3384597497088
2010-04-09,SBIN,INE062A01012,,2100.0,2125.0,2093.55,2106.1,1236719,2610173786.55,0.813177374755336,1712.6328689722131
2010-04-12,SBIN,INE062A01012,,2115.0,2115.0,2080.0,2092.0,861412,1802956246.45,0.813177374755336,1701.167067988163
2010-04-13,SBIN,INE062A01012,,2097.0,2112.0,2063.0,2093.95,1761909,3670132544.65,0.813177374755336,1702.7527638689357
2010-04-15,SBIN,INE062A01012,,2096.65,2109.05,2048.0,2054.05,1301622,2697734756.75,0.813177374755336,1670.3069866161982
